trials.thisRepN,num_distr,mouse.time,mouse.clicked_name,,,,,,,,,,
0,10,3.2797337,Target',,,,,,,,,,
1,10,0.3223617,,,,,,,,,,,2.506985528
2,5,3.6662538,Target',,,,,mean,2.501536442,set size 5,2.508612086,set size 10,
3,5,1.8413258,Target',,,,,,,,,,
4,10,3.6490716,Target',,,,,,,,,,
5,10,3.3895384,Target',,,,,,,,,,
6,5,2.63448,Target',,,,,,,,,,
7,5,3.9235612,Target',,,,,,,,,,
8,5,2.8994668,Target',,,,,,,,,,
9,10,2.408902,Target',,,,,,,,,,
10,10,1.6510156,Target',,,,,,,,,,
11,5,2.6999166,Target',,,,,,,,,,
12,10,3.7370559,Target',,,,,,,,,,
13,10,2.5974299,Target',,,,,,,,,,
14,5,3.288928,Target',,,,,,,,,,
15,5,2.6013947,Target',,,,,,,,,,
16,5,1.6322693,Target',,,,,,,,,,
17,5,2.8245634,Target',,,,,,,,,,
18,10,5.2886452,Target',,,,,,,,,,
19,5,2.8374212,Target',,,,,,,,,,
20,10,2.1049623,Target',,,,,,,,,,
21,10,2.1985012,Target',,,,,,,,,,
22,5,3.2574911,Target',,,,,,,,,,
23,5,2.1400215,Target',,,,,,,,,,
24,5,2.1950525,Target',,,,,,,,,,
25,10,3.3851875,Target',,,,,,,,,,
26,10,3.4427595,Target',,,,,,,,,,
27,5,2.5085532,Target',,,,,,,,,,
28,5,3.0780938,Target',,,,,,,,,,
29,10,2.2397505,Target',,,,,,,,,,
30,10,2.3745421,Target',,,,,,,,,,
31,10,2.6988335,Target',,,,,,,,,,
32,5,2.5606587,Target',,,,,,,,,,
33,10,2.9205005,Target',,,,,,,,,,
34,10,2.3889675,Target',,,,,,,,,,
35,5,2.8344144,Target',,,,,,,,,,
36,10,3.5599978,Target',,,,,,,,,,
37,10,2.197846,Target',,,,,,,,,,
38,5,2.1573492,Target',,,,,,,,,,
39,10,2.4451019,Target',,,,,,,,,,
40,10,2.7599602,Target',,,,,,,,,,
41,5,2.7297873,Target',,,,,,,,,,
42,10,3.2947761,Target',,,,,,,,,,
43,10,2.5338426,Target',,,,,,,,,,
44,5,2.6122835,Target',,,,,,,,,,
45,5,3.0092964,Target',,,,,,,,,,
46,5,2.3677642,Target',,,,,,,,,,
47,5,2.1082061,Target',,,,,,,,,,
48,5,2.1318576,Target',,,,,,,,,,
49,5,1.59493,Target',,,,,,,,,,
50,5,1.7655383,Target',,,,,,,,,,
51,10,1.8033163,Target',,,,,,,,,,
52,5,2.8765765,Target',,,,,,,,,,
53,10,1.8026825,Target',,,,,,,,,,
54,5,2.3543934,Target',,,,,,,,,,
55,10,2.4498901,Target',,,,,,,,,,
56,10,3.5451534,Target',,,,,,,,,,
57,5,2.2684719,Target',,,,,,,,,,
58,10,2.6565879,Target',,,,,,,,,,
59,5,4.4958321,Target',,,,,,,,,,
60,5,3.3133654,Target',,,,,,,,,,
61,10,3.0214289,Target',,,,,,,,,,
62,5,2.1781282,Target',,,,,,,,,,
63,5,2.3908064,Target',,,,,,,,,,
64,5,2.0203337,Target',,,,,,,,,,
65,10,3.1993008,Target',,,,,,,,,,
66,5,2.0468683,Target',,,,,,,,,,
67,10,1.9031023,Target',,,,,,,,,,
68,5,2.5925346,Target',,,,,,,,,,
69,10,2.7923393,Target',,,,,,,,,,
70,10,1.7588875,Target',,,,,,,,,,
71,10,3.0913336,Target',,,,,,,,,,
72,5,2.4920517,Target',,,,,,,,,,
73,10,2.362155,Target',,,,,,,,,,
74,5,1.54493,Target',,,,,,,,,,
75,5,2.2417131,Target',,,,,,,,,,
76,5,1.6243905,Target',,,,,,,,,,
77,5,2.3651275,Target',,,,,,,,,,
78,10,2.1189759,Target',,,,,,,,,,
79,5,2.4360838,Target',,,,,,,,,,
80,10,2.4323329,Target',,,,,,,,,,
81,10,2.1522108,Target',,,,,,,,,,
82,5,2.5153737,Target',,,,,,,,,,
83,10,2.320413,Target',,,,,,,,,,
84,10,2.8353684,Target',,,,,,,,,,
85,10,2.8069161,Target',,,,,,,,,,
86,10,2.1817235,Target',,,,,,,,,,
87,5,1.7874156,Target',,,,,,,,,,
88,10,2.6222764,Target',,,,,,,,,,
89,10,2.5763099,Target',,,,,,,,,,
90,10,2.2455438,Target',,,,,,,,,,
91,5,2.4230943,Target',,,,,,,,,,
92,10,2.3911027,Target',,,,,,,,,,
93,5,3.0053255,Target',,,,,,,,,,
94,5,3.1355429,Target',,,,,,,,,,
95,5,1.7734194,Target',,,,,,,,,,
96,10,2.3326479,Target',,,,,,,,,,
97,10,3.25829,Target',,,,,,,,,,
98,10,2.298116,Target',,,,,,,,,,
99,5,2.8307507,Target',,,,,,,,,,
100,5,2.5376095,Target',,,,,,,,,,
101,5,2.7856778,Target',,,,,,,,,,
102,10,2.3507977,Target',,,,,,,,,,
103,10,2.347563,Target',,,,,,,,,,
104,5,2.2360957,Target',,,,,,,,,,
105,10,1.5322761,Target',,,,,,,,,,
106,5,2.2140731,Target',,,,,,,,,,
107,5,1.8282181,Target',,,,,,,,,,
108,10,2.7629294,Target',,,,,,,,,,
109,10,2.7484491,Target',,,,,,,,,,
110,5,2.3939212,Target',,,,,,,,,,
111,5,3.0136679,Target',,,,,,,,,,
112,10,1.9445541,Target',,,,,,,,,,
113,5,2.8223364,Target',,,,,,,,,,
114,5,1.4524778,Target',,,,,,,,,,
115,5,2.2436303,Target',,,,,,,,,,
116,5,2.703732,Target',,,,,,,,,,
117,5,2.9495538,Target',,,,,,,,,,
118,5,3.4562122,Target',,,,,,,,,,
119,10,3.1532193,Target',,,,,,,,,,
120,10,2.937026,,,,,,,,,,,
121,10,2.8394574,Target',,,,,,,,,,
122,10,3.6830564,Target',,,,,,,,,,
123,10,2.5423431,Target',,,,,,,,,,
124,5,2.049565,Target',,,,,,,,,,
125,5,2.0480045,Target',,,,,,,,,,
126,10,1.7439992,Target',,,,,,,,,,
127,5,3.0285574,Target',,,,,,,,,,
128,5,1.906847,Target',,,,,,,,,,
129,10,2.8578083,Target',,,,,,,,,,
130,10,2.3905484,Target',,,,,,,,,,
131,5,2.7353424,Target',,,,,,,,,,
132,10,2.3843389,Target',,,,,,,,,,
133,10,1.9378031,Target',,,,,,,,,,
134,5,2.961988,Target',,,,,,,,,,
135,5,2.6681532,Target',,,,,,,,,,
136,5,1.9870767,Target',,,,,,,,,,
137,10,2.516827,Target',,,,,,,,,,
138,10,1.779509,Target',,,,,,,,,,
139,10,2.7462512,Target',,,,,,,,,,
140,10,3.1776895,Target',,,,,,,,,,
141,10,2.5154075,Target',,,,,,,,,,
142,10,2.4971831,Target',,,,,,,,,,
143,10,2.031232,Target',,,,,,,,,,
144,5,2.6462179,Target',,,,,,,,,,
145,5,3.0271482,Target',,,,,,,,,,
146,5,2.6027468,Target',,,,,,,,,,
147,5,2.576705,Target',,,,,,,,,,
148,5,2.4285579,Target',,,,,,,,,,
149,10,2.3741397,Target',,,,,,,,,,
150,5,2.655998,Target',,,,,,,,,,
151,10,2.5565749,Target',,,,,,,,,,
152,10,2.5312491,Target',,,,,,,,,,
153,5,1.5795184,Target',,,,,,,,,,
154,10,2.1439536,Target',,,,,,,,,,
155,5,2.3739788,Target',,,,,,,,,,
156,10,2.4232165,Target',,,,,,,,,,
157,10,1.7508188,Target',,,,,,,,,,
158,10,3.1341424,Target',,,,,,,,,,
159,10,1.68068,Target',,,,,,,,,,
160,5,2.798301,Target',,,,,,,,,,
161,10,2.0609823,Target',,,,,,,,,,
162,5,2.4506552,Target',,,,,,,,,,
163,5,2.6914776,Target',,,,,,,,,,
164,5,2.4306316,Target',,,,,,,,,,
165,10,3.1612905,Target',,,,,,,,,,
166,5,2.6177947,Target',,,,,,,,,,
167,10,2.3709912,Target',,,,,,,,,,
168,5,2.0423442,Target',,,,,,,,,,
169,10,1.7053161,Target',,,,,,,,,,
170,10,3.8941807,Target',,,,,,,,,,
171,5,2.1720476,Target',,,,,,,,,,
172,5,2.4454251,Target',,,,,,,,,,
173,5,2.3063796,Target',,,,,,,,,,
174,5,1.9341141,Target',,,,,,,,,,
175,10,1.9206625,Target',,,,,,,,,,
176,5,2.0993508,Target',,,,,,,,,,
177,5,1.4550997,Target',,,,,,,,,,
178,5,2.6740591,Target',,,,,,,,,,
179,5,2.0050669,Target',,,,,,,,,,
180,10,3.5638531,Target',,,,,,,,,,
181,10,2.1517117,Target',,,,,,,,,,
182,10,2.6630731,Target',,,,,,,,,,
183,5,2.50027,Target',,,,,,,,,,
184,10,2.9462472,Target',,,,,,,,,,
185,10,2.6848011,Target',,,,,,,,,,
186,5,2.018457,Target',,,,,,,,,,
187,10,2.1660881,Target',,,,,,,,,,
188,10,2.1810741,Target',,,,,,,,,,
189,5,2.0076055,Target',,,,,,,,,,
190,10,2.1515316,Target',,,,,,,,,,
191,5,2.5805402,Target',,,,,,,,,,
192,10,3.0191223,Target',,,,,,,,,,
193,5,2.2935455,Target',,,,,,,,,,
194,10,2.3662899,Target',,,,,,,,,,
195,10,1.3587102,Target',,,,,,,,,,
196,10,1.4250081,Target',,,,,,,,,,
197,10,2.2663275,Target',,,,,,,,,,
198,10,2.9399426,Target',,,,,,,,,,
199,5,1.4171684,Target',,,,,,,,,,
